BATCH_ID,PRODUCT_LINE,LAYUP_START,LAYUP_END,CURE_START,CURE_END,TRIM_START,TRIM_END,QC_TIMESTAMP,QC_RESULT,SCRAP_FLAG,DELAMINATION_SCORE
BATCH-20251109-03,AVALANCHE_X1,2025-11-09T15:35:24.238148,2025-11-09T17:35:24.238148,2025-11-09T18:05:24.238148,2025-11-09T22:05:24.238148,2025-11-09T22:20:24.238148,2025-11-09T23:20:24.238148,2025-11-09T23:50:24.238148,PASS,False,37.4
BATCH-20251109-04,AVALANCHE_X1,2025-11-09T18:35:24.238148,2025-11-09T20:35:24.238148,2025-11-09T21:05:24.238148,2025-11-10T01:05:24.238148,2025-11-10T01:20:24.238148,2025-11-10T02:20:24.238148,2025-11-10T02:50:24.238148,PASS,False,29.8
BATCH-20251109-05,AVALANCHE_X1,2025-11-09T21:35:24.238148,2025-11-09T23:35:24.238148,2025-11-10T00:05:24.238148,2025-11-10T04:05:24.238148,2025-11-10T04:20:24.238148,2025-11-10T05:20:24.238148,2025-11-10T05:50:24.238148,PASS,False,27.2
BATCH-20251109-06,AVALANCHE_X1,2025-11-10T00:35:24.238148,2025-11-10T02:35:24.238148,2025-11-10T03:05:24.238148,2025-11-10T07:05:24.238148,2025-11-10T07:20:24.238148,2025-11-10T08:20:24.238148,2025-11-10T08:50:24.238148,PASS,False,18.4
BATCH-20251109-07,AVALANCHE_X1,2025-11-10T03:35:24.238148,2025-11-10T05:35:24.238148,2025-11-10T06:05:24.238148,2025-11-10T10:05:24.238148,2025-11-10T10:20:24.238148,2025-11-10T11:20:24.238148,2025-11-10T11:50:24.238148,PASS,False,17.5
BATCH-20251109-08,AVALANCHE_X1,2025-11-10T06:35:24.238148,2025-11-10T08:35:24.238148,2025-11-10T09:05:24.238148,2025-11-10T13:05:24.238148,2025-11-10T13:20:24.238148,2025-11-10T14:20:24.238148,2025-11-10T14:50:24.238148,PASS,False,21.4
BATCH-20251110-01,AVALANCHE_X1,2025-11-10T09:35:24.238148,2025-11-10T11:35:24.238148,2025-11-10T12:05:24.238148,2025-11-10T16:05:24.238148,2025-11-10T16:20:24.238148,2025-11-10T17:20:24.238148,2025-11-10T17:50:24.238148,PASS,False,19.2
BATCH-20251110-02,AVALANCHE_X1,2025-11-10T12:35:24.238148,2025-11-10T14:35:24.238148,2025-11-10T15:05:24.238148,2025-11-10T19:05:24.238148,2025-11-10T19:20:24.238148,2025-11-10T20:20:24.238148,2025-11-10T20:50:24.238148,PASS,False,14.7
BATCH-20251110-03,AVALANCHE_X1,2025-11-10T15:35:24.238148,2025-11-10T17:35:24.238148,2025-11-10T18:05:24.238148,2025-11-10T22:05:24.238148,2025-11-10T22:20:24.238148,2025-11-10T23:20:24.238148,2025-11-10T23:50:24.238148,PASS,False,13.3
BATCH-20251110-04,AVALANCHE_X1,2025-11-10T18:35:24.238148,2025-11-10T20:35:24.238148,2025-11-10T21:05:24.238148,2025-11-11T01:05:24.238148,2025-11-11T01:20:24.238148,2025-11-11T02:20:24.238148,2025-11-11T02:50:24.238148,PASS,False,29.5
BATCH-20251110-05,AVALANCHE_X1,2025-11-10T21:35:24.238148,2025-11-10T23:35:24.238148,2025-11-11T00:05:24.238148,2025-11-11T04:05:24.238148,2025-11-11T04:20:24.238148,2025-11-11T05:20:24.238148,2025-11-11T05:50:24.238148,PASS,False,35.5
BATCH-20251110-06,AVALANCHE_X1,2025-11-11T00:35:24.238148,2025-11-11T02:35:24.238148,2025-11-11T03:05:24.238148,2025-11-11T07:05:24.238148,2025-11-11T07:20:24.238148,2025-11-11T08:20:24.238148,2025-11-11T08:50:24.238148,REJECT,True,48.8
BATCH-20251110-07,AVALANCHE_X1,2025-11-11T03:35:24.238148,2025-11-11T05:35:24.238148,2025-11-11T06:05:24.238148,2025-11-11T10:05:24.238148,2025-11-11T10:20:24.238148,2025-11-11T11:20:24.238148,2025-11-11T11:50:24.238148,PASS,False,17.9
BATCH-20251110-08,AVALANCHE_X1,2025-11-11T06:35:24.238148,2025-11-11T08:35:24.238148,2025-11-11T09:05:24.238148,2025-11-11T13:05:24.238148,2025-11-11T13:20:24.238148,2025-11-11T14:20:24.238148,2025-11-11T14:50:24.238148,PASS,False,28.6
BATCH-20251111-01,AVALANCHE_X1,2025-11-11T09:35:24.238148,2025-11-11T11:35:24.238148,2025-11-11T12:05:24.238148,2025-11-11T16:05:24.238148,2025-11-11T16:20:24.238148,2025-11-11T17:20:24.238148,2025-11-11T17:50:24.238148,PASS,False,23.7
BATCH-20251111-02,AVALANCHE_X1,2025-11-11T12:35:24.238148,2025-11-11T14:35:24.238148,2025-11-11T15:05:24.238148,2025-11-11T19:05:24.238148,2025-11-11T19:20:24.238148,2025-11-11T20:20:24.238148,2025-11-11T20:50:24.238148,PASS,False,18.6
BATCH-20251111-03,AVALANCHE_X1,2025-11-11T15:35:24.238148,2025-11-11T17:35:24.238148,2025-11-11T18:05:24.238148,2025-11-11T22:05:24.238148,2025-11-11T22:20:24.238148,2025-11-11T23:20:24.238148,2025-11-11T23:50:24.238148,PASS,False,35.9
BATCH-20251111-04,AVALANCHE_X1,2025-11-11T18:35:24.238148,2025-11-11T20:35:24.238148,2025-11-11T21:05:24.238148,2025-11-12T01:05:24.238148,2025-11-12T01:20:24.238148,2025-11-12T02:20:24.238148,2025-11-12T02:50:24.238148,PASS,False,25.8
BATCH-20251111-05,AVALANCHE_X1,2025-11-11T21:35:24.238148,2025-11-11T23:35:24.238148,2025-11-12T00:05:24.238148,2025-11-12T04:05:24.238148,2025-11-12T04:20:24.238148,2025-11-12T05:20:24.238148,2025-11-12T05:50:24.238148,PASS,False,12.0
BATCH-20251111-06,AVALANCHE_X1,2025-11-12T00:35:24.238148,2025-11-12T02:35:24.238148,2025-11-12T03:05:24.238148,2025-11-12T07:05:24.238148,2025-11-12T07:20:24.238148,2025-11-12T08:20:24.238148,2025-11-12T08:50:24.238148,PASS,False,23.7
BATCH-20251111-07,AVALANCHE_X1,2025-11-12T03:35:24.238148,2025-11-12T05:35:24.238148,2025-11-12T06:05:24.238148,2025-11-12T10:05:24.238148,2025-11-12T10:20:24.238148,2025-11-12T11:20:24.238148,2025-11-12T11:50:24.238148,PASS,False,22.8
BATCH-20251111-08,AVALANCHE_X1,2025-11-12T06:35:24.238148,2025-11-12T08:35:24.238148,2025-11-12T09:05:24.238148,2025-11-12T13:05:24.238148,2025-11-12T13:20:24.238148,2025-11-12T14:20:24.238148,2025-11-12T14:50:24.238148,PASS,False,35.8
BATCH-20251112-01,AVALANCHE_X1,2025-11-12T09:35:24.238148,2025-11-12T11:35:24.238148,2025-11-12T12:05:24.238148,2025-11-12T16:05:24.238148,2025-11-12T16:20:24.238148,2025-11-12T17:20:24.238148,2025-11-12T17:50:24.238148,PASS,False,29.3
BATCH-20251112-02,AVALANCHE_X1,2025-11-12T12:35:24.238148,2025-11-12T14:35:24.238148,2025-11-12T15:05:24.238148,2025-11-12T19:05:24.238148,2025-11-12T19:20:24.238148,2025-11-12T20:20:24.238148,2025-11-12T20:50:24.238148,PASS,False,13.2
BATCH-20251112-03,AVALANCHE_X1,2025-11-12T15:35:24.238148,2025-11-12T17:35:24.238148,2025-11-12T18:05:24.238148,2025-11-12T22:05:24.238148,2025-11-12T22:20:24.238148,2025-11-12T23:20:24.238148,2025-11-12T23:50:24.238148,PASS,False,58.9
BATCH-20251112-04,AVALANCHE_X1,2025-11-12T18:35:24.238148,2025-11-12T20:35:24.238148,2025-11-12T21:05:24.238148,2025-11-13T01:05:24.238148,2025-11-13T01:20:24.238148,2025-11-13T02:20:24.238148,2025-11-13T02:50:24.238148,PASS,False,53.4
BATCH-20251112-05,AVALANCHE_X1,2025-11-12T21:35:24.238148,2025-11-12T23:35:24.238148,2025-11-13T00:05:24.238148,2025-11-13T04:05:24.238148,2025-11-13T04:20:24.238148,2025-11-13T05:20:24.238148,2025-11-13T05:50:24.238148,PASS,False,69.3
BATCH-20251112-06,AVALANCHE_X1,2025-11-13T00:35:24.238148,2025-11-13T02:35:24.238148,2025-11-13T03:05:24.238148,2025-11-13T07:05:24.238148,2025-11-13T07:20:24.238148,2025-11-13T08:20:24.238148,2025-11-13T08:50:24.238148,PASS,False,27.4
BATCH-20251112-07,AVALANCHE_X1,2025-11-13T03:35:24.238148,2025-11-13T05:35:24.238148,2025-11-13T06:05:24.238148,2025-11-13T10:05:24.238148,2025-11-13T10:20:24.238148,2025-11-13T11:20:24.238148,2025-11-13T11:50:24.238148,PASS,False,30.1
BATCH-20251112-08,AVALANCHE_X1,2025-11-13T06:35:24.238148,2025-11-13T08:35:24.238148,2025-11-13T09:05:24.238148,2025-11-13T13:05:24.238148,2025-11-13T13:20:24.238148,2025-11-13T14:20:24.238148,2025-11-13T14:50:24.238148,PASS,False,9.8
BATCH-20251113-01,AVALANCHE_X1,2025-11-13T09:35:24.238148,2025-11-13T11:35:24.238148,2025-11-13T12:05:24.238148,2025-11-13T16:05:24.238148,2025-11-13T16:20:24.238148,2025-11-13T17:20:24.238148,2025-11-13T17:50:24.238148,REJECT,True,70.5
BATCH-20251113-02,AVALANCHE_X1,2025-11-13T12:35:24.238148,2025-11-13T14:35:24.238148,2025-11-13T15:05:24.238148,2025-11-13T19:05:24.238148,2025-11-13T19:20:24.238148,2025-11-13T20:20:24.238148,2025-11-13T20:50:24.238148,PASS,False,11.0
BATCH-20251113-03,AVALANCHE_X1,2025-11-13T15:35:24.238148,2025-11-13T17:35:24.238148,2025-11-13T18:05:24.238148,2025-11-13T22:05:24.238148,2025-11-13T22:20:24.238148,2025-11-13T23:20:24.238148,2025-11-13T23:50:24.238148,PASS,False,40.3
BATCH-20251113-04,AVALANCHE_X1,2025-11-13T18:35:24.238148,2025-11-13T20:35:24.238148,2025-11-13T21:05:24.238148,2025-11-14T01:05:24.238148,2025-11-14T01:20:24.238148,2025-11-14T02:20:24.238148,2025-11-14T02:50:24.238148,PASS,False,33.8
BATCH-20251113-05,AVALANCHE_X1,2025-11-13T21:35:24.238148,2025-11-13T23:35:24.238148,2025-11-14T00:05:24.238148,2025-11-14T04:05:24.238148,2025-11-14T04:20:24.238148,2025-11-14T05:20:24.238148,2025-11-14T05:50:24.238148,PASS,False,13.0
BATCH-20251113-06,AVALANCHE_X1,2025-11-14T00:35:24.238148,2025-11-14T02:35:24.238148,2025-11-14T03:05:24.238148,2025-11-14T07:05:24.238148,2025-11-14T07:20:24.238148,2025-11-14T08:20:24.238148,2025-11-14T08:50:24.238148,PASS,False,36.5
BATCH-20251113-07,AVALANCHE_X1,2025-11-14T03:35:24.238148,2025-11-14T05:35:24.238148,2025-11-14T06:05:24.238148,2025-11-14T10:05:24.238148,2025-11-14T10:20:24.238148,2025-11-14T11:20:24.238148,2025-11-14T11:50:24.238148,PASS,False,15.1
BATCH-20251113-08,AVALANCHE_X1,2025-11-14T06:35:24.238148,2025-11-14T08:35:24.238148,2025-11-14T09:05:24.238148,2025-11-14T13:05:24.238148,2025-11-14T13:20:24.238148,2025-11-14T14:20:24.238148,2025-11-14T14:50:24.238148,PASS,False,19.0
BATCH-20251114-01,AVALANCHE_X1,2025-11-14T09:35:24.238148,2025-11-14T11:35:24.238148,2025-11-14T12:05:24.238148,2025-11-14T16:05:24.238148,2025-11-14T16:20:24.238148,2025-11-14T17:20:24.238148,2025-11-14T17:50:24.238148,PASS,False,22.6
BATCH-20251114-02,AVALANCHE_X1,2025-11-14T12:35:24.238148,2025-11-14T14:35:24.238148,2025-11-14T15:05:24.238148,2025-11-14T19:05:24.238148,2025-11-14T19:20:24.238148,2025-11-14T20:20:24.238148,2025-11-14T20:50:24.238148,PASS,False,20.1
BATCH-20251114-03,AVALANCHE_X1,2025-11-14T15:35:24.238148,2025-11-14T17:35:24.238148,2025-11-14T18:05:24.238148,2025-11-14T22:05:24.238148,2025-11-14T22:20:24.238148,2025-11-14T23:20:24.238148,2025-11-14T23:50:24.238148,PASS,False,17.0
BATCH-20251114-04,AVALANCHE_X1,2025-11-14T18:35:24.238148,2025-11-14T20:35:24.238148,2025-11-14T21:05:24.238148,2025-11-15T01:05:24.238148,2025-11-15T01:20:24.238148,2025-11-15T02:20:24.238148,2025-11-15T02:50:24.238148,PASS,False,17.2
BATCH-20251114-05,AVALANCHE_X1,2025-11-14T21:35:24.238148,2025-11-14T23:35:24.238148,2025-11-15T00:05:24.238148,2025-11-15T04:05:24.238148,2025-11-15T04:20:24.238148,2025-11-15T05:20:24.238148,2025-11-15T05:50:24.238148,PASS,False,37.0
BATCH-20251114-06,AVALANCHE_X1,2025-11-15T00:35:24.238148,2025-11-15T02:35:24.238148,2025-11-15T03:05:24.238148,2025-11-15T07:05:24.238148,2025-11-15T07:20:24.238148,2025-11-15T08:20:24.238148,2025-11-15T08:50:24.238148,PASS,False,16.7
BATCH-20251114-07,AVALANCHE_X1,2025-11-15T03:35:24.238148,2025-11-15T05:35:24.238148,2025-11-15T06:05:24.238148,2025-11-15T10:05:24.238148,2025-11-15T10:20:24.238148,2025-11-15T11:20:24.238148,2025-11-15T11:50:24.238148,PASS,False,36.1
BATCH-20251114-08,AVALANCHE_X1,2025-11-15T06:35:24.238148,2025-11-15T08:35:24.238148,2025-11-15T09:05:24.238148,2025-11-15T13:05:24.238148,2025-11-15T13:20:24.238148,2025-11-15T14:20:24.238148,2025-11-15T14:50:24.238148,PASS,False,33.4
BATCH-20251115-01,AVALANCHE_X1,2025-11-15T09:35:24.238148,2025-11-15T11:35:24.238148,2025-11-15T12:05:24.238148,2025-11-15T16:05:24.238148,2025-11-15T16:20:24.238148,2025-11-15T17:20:24.238148,2025-11-15T17:50:24.238148,PASS,False,21.8
BATCH-20251115-02,AVALANCHE_X1,2025-11-15T12:35:24.238148,2025-11-15T14:35:24.238148,2025-11-15T15:05:24.238148,2025-11-15T19:05:24.238148,2025-11-15T19:20:24.238148,2025-11-15T20:20:24.238148,2025-11-15T20:50:24.238148,PASS,False,31.0
BATCH-20251115-03,AVALANCHE_X1,2025-11-15T15:35:24.238148,2025-11-15T17:35:24.238148,2025-11-15T18:05:24.238148,2025-11-15T22:05:24.238148,2025-11-15T22:20:24.238148,2025-11-15T23:20:24.238148,2025-11-15T23:50:24.238148,PASS,False,41.4
BATCH-20251115-04,AVALANCHE_X1,2025-11-15T18:35:24.238148,2025-11-15T20:35:24.238148,2025-11-15T21:05:24.238148,2025-11-16T01:05:24.238148,2025-11-16T01:20:24.238148,2025-11-16T02:20:24.238148,2025-11-16T02:50:24.238148,PASS,False,48.7
BATCH-20251115-05,AVALANCHE_X1,2025-11-15T21:35:24.238148,2025-11-15T23:35:24.238148,2025-11-16T00:05:24.238148,2025-11-16T04:05:24.238148,2025-11-16T04:20:24.238148,2025-11-16T05:20:24.238148,2025-11-16T05:50:24.238148,PASS,False,51.5
BATCH-20251115-06,AVALANCHE_X1,2025-11-16T00:35:24.238148,2025-11-16T02:35:24.238148,2025-11-16T03:05:24.238148,2025-11-16T07:05:24.238148,2025-11-16T07:20:24.238148,2025-11-16T08:20:24.238148,2025-11-16T08:50:24.238148,PASS,False,38.4
BATCH-20251115-07,AVALANCHE_X1,2025-11-16T03:35:24.238148,2025-11-16T05:35:24.238148,2025-11-16T06:05:24.238148,2025-11-16T10:05:24.238148,2025-11-16T10:20:24.238148,2025-11-16T11:20:24.238148,2025-11-16T11:50:24.238148,PASS,False,35.3
BATCH-20251115-08,AVALANCHE_X1,2025-11-16T06:35:24.238148,2025-11-16T08:35:24.238148,2025-11-16T09:05:24.238148,2025-11-16T13:05:24.238148,2025-11-16T13:20:24.238148,2025-11-16T14:20:24.238148,2025-11-16T14:50:24.238148,PASS,False,34.9
BATCH-20251116-01,AVALANCHE_X1,2025-11-16T09:35:24.238148,2025-11-16T11:35:24.238148,2025-11-16T12:05:24.238148,2025-11-16T16:05:24.238148,2025-11-16T16:20:24.238148,2025-11-16T17:20:24.238148,2025-11-16T17:50:24.238148,PASS,False,36.5
BATCH-20251116-02,AVALANCHE_X1,2025-11-16T12:35:24.238148,2025-11-16T14:35:24.238148,2025-11-16T15:05:24.238148,2025-11-16T19:05:24.238148,2025-11-16T19:20:24.238148,2025-11-16T20:20:24.238148,2025-11-16T20:50:24.238148,PASS,False,23.1
BATCH-20251116-03,AVALANCHE_X1,2025-11-16T15:35:24.238148,2025-11-16T17:35:24.238148,2025-11-16T18:05:24.238148,2025-11-16T22:05:24.238148,2025-11-16T22:20:24.238148,2025-11-16T23:20:24.238148,2025-11-16T23:50:24.238148,PASS,False,22.2
BATCH-20251116-04,AVALANCHE_X1,2025-11-16T18:35:24.238148,2025-11-16T20:35:24.238148,2025-11-16T21:05:24.238148,2025-11-17T01:05:24.238148,2025-11-17T01:20:24.238148,2025-11-17T02:20:24.238148,2025-11-17T02:50:24.238148,PASS,False,23.6
BATCH-20251116-05,AVALANCHE_X1,2025-11-16T21:35:24.238148,2025-11-16T23:35:24.238148,2025-11-17T00:05:24.238148,2025-11-17T04:05:24.238148,2025-11-17T04:20:24.238148,2025-11-17T05:20:24.238148,2025-11-17T05:50:24.238148,PASS,False,41.2
BATCH-20251116-06,AVALANCHE_X1,2025-11-17T00:35:24.238148,2025-11-17T02:35:24.238148,2025-11-17T03:05:24.238148,2025-11-17T07:05:24.238148,2025-11-17T07:20:24.238148,2025-11-17T08:20:24.238148,2025-11-17T08:50:24.238148,PASS,False,14.6
BATCH-20251116-07,AVALANCHE_X1,2025-11-17T03:35:24.238148,2025-11-17T05:35:24.238148,2025-11-17T06:05:24.238148,2025-11-17T10:05:24.238148,2025-11-17T10:20:24.238148,2025-11-17T11:20:24.238148,2025-11-17T11:50:24.238148,PASS,False,36.9
BATCH-20251116-08,AVALANCHE_X1,2025-11-17T06:35:24.238148,2025-11-17T08:35:24.238148,2025-11-17T09:05:24.238148,2025-11-17T13:05:24.238148,2025-11-17T13:20:24.238148,2025-11-17T14:20:24.238148,2025-11-17T14:50:24.238148,PASS,False,11.4
BATCH-20251117-01,AVALANCHE_X1,2025-11-17T09:35:24.238148,2025-11-17T11:35:24.238148,2025-11-17T12:05:24.238148,2025-11-17T16:05:24.238148,2025-11-17T16:20:24.238148,2025-11-17T17:20:24.238148,2025-11-17T17:50:24.238148,PASS,False,38.1
BATCH-20251117-02,AVALANCHE_X1,2025-11-17T12:35:24.238148,2025-11-17T14:35:24.238148,2025-11-17T15:05:24.238148,2025-11-17T19:05:24.238148,2025-11-17T19:20:24.238148,2025-11-17T20:20:24.238148,2025-11-17T20:50:24.238148,PASS,False,17.2
BATCH-20251117-03,AVALANCHE_X1,2025-11-17T15:35:24.238148,2025-11-17T17:35:24.238148,2025-11-17T18:05:24.238148,2025-11-17T22:05:24.238148,2025-11-17T22:20:24.238148,2025-11-17T23:20:24.238148,2025-11-17T23:50:24.238148,PASS,False,30.3
BATCH-20251117-04,AVALANCHE_X1,2025-11-17T18:35:24.238148,2025-11-17T20:35:24.238148,2025-11-17T21:05:24.238148,2025-11-18T01:05:24.238148,2025-11-18T01:20:24.238148,2025-11-18T02:20:24.238148,2025-11-18T02:50:24.238148,PASS,False,17.8
BATCH-20251117-05,AVALANCHE_X1,2025-11-17T21:35:24.238148,2025-11-17T23:35:24.238148,2025-11-18T00:05:24.238148,2025-11-18T04:05:24.238148,2025-11-18T04:20:24.238148,2025-11-18T05:20:24.238148,2025-11-18T05:50:24.238148,PASS,False,26.9
BATCH-20251117-06,AVALANCHE_X1,2025-11-18T00:35:24.238148,2025-11-18T02:35:24.238148,2025-11-18T03:05:24.238148,2025-11-18T07:05:24.238148,2025-11-18T07:20:24.238148,2025-11-18T08:20:24.238148,2025-11-18T08:50:24.238148,PASS,False,39.3
BATCH-20251117-07,AVALANCHE_X1,2025-11-18T03:35:24.238148,2025-11-18T05:35:24.238148,2025-11-18T06:05:24.238148,2025-11-18T10:05:24.238148,2025-11-18T10:20:24.238148,2025-11-18T11:20:24.238148,2025-11-18T11:50:24.238148,PASS,False,31.6
BATCH-20251117-08,AVALANCHE_X1,2025-11-18T06:35:24.238148,2025-11-18T08:35:24.238148,2025-11-18T09:05:24.238148,2025-11-18T13:05:24.238148,2025-11-18T13:20:24.238148,2025-11-18T14:20:24.238148,2025-11-18T14:50:24.238148,PASS,False,19.9
BATCH-20251118-01,AVALANCHE_X1,2025-11-18T09:35:24.238148,2025-11-18T11:35:24.238148,2025-11-18T12:05:24.238148,2025-11-18T16:05:24.238148,2025-11-18T16:20:24.238148,2025-11-18T17:20:24.238148,2025-11-18T17:50:24.238148,PASS,False,10.1
BATCH-20251118-02,AVALANCHE_X1,2025-11-18T12:35:24.238148,2025-11-18T14:35:24.238148,2025-11-18T15:05:24.238148,2025-11-18T19:05:24.238148,2025-11-18T19:20:24.238148,2025-11-18T20:20:24.238148,2025-11-18T20:50:24.238148,PASS,False,12.8
BATCH-20251118-03,AVALANCHE_X1,2025-11-18T15:35:24.238148,2025-11-18T17:35:24.238148,2025-11-18T18:05:24.238148,2025-11-18T22:05:24.238148,2025-11-18T22:20:24.238148,2025-11-18T23:20:24.238148,2025-11-18T23:50:24.238148,PASS,False,19.6
BATCH-20251118-04,AVALANCHE_X1,2025-11-18T18:35:24.238148,2025-11-18T20:35:24.238148,2025-11-18T21:05:24.238148,2025-11-19T01:05:24.238148,2025-11-19T01:20:24.238148,2025-11-19T02:20:24.238148,2025-11-19T02:50:24.238148,PASS,False,20.2
BATCH-20251118-05,AVALANCHE_X1,2025-11-18T21:35:24.238148,2025-11-18T23:35:24.238148,2025-11-19T00:05:24.238148,2025-11-19T04:05:24.238148,2025-11-19T04:20:24.238148,2025-11-19T05:20:24.238148,2025-11-19T05:50:24.238148,PASS,False,34.3
BATCH-20251118-06,AVALANCHE_X1,2025-11-19T00:35:24.238148,2025-11-19T02:35:24.238148,2025-11-19T03:05:24.238148,2025-11-19T07:05:24.238148,2025-11-19T07:20:24.238148,2025-11-19T08:20:24.238148,2025-11-19T08:50:24.238148,PASS,False,27.7
BATCH-20251118-07,AVALANCHE_X1,2025-11-19T03:35:24.238148,2025-11-19T05:35:24.238148,2025-11-19T06:05:24.238148,2025-11-19T10:05:24.238148,2025-11-19T10:20:24.238148,2025-11-19T11:20:24.238148,2025-11-19T11:50:24.238148,REJECT,True,63.7
BATCH-20251118-08,AVALANCHE_X1,2025-11-19T06:35:24.238148,2025-11-19T08:35:24.238148,2025-11-19T09:05:24.238148,2025-11-19T13:05:24.238148,2025-11-19T13:20:24.238148,2025-11-19T14:20:24.238148,2025-11-19T14:50:24.238148,PASS,False,15.0
BATCH-20251119-01,AVALANCHE_X1,2025-11-19T09:35:24.238148,2025-11-19T11:35:24.238148,2025-11-19T12:05:24.238148,2025-11-19T16:05:24.238148,2025-11-19T16:20:24.238148,2025-11-19T17:20:24.238148,2025-11-19T17:50:24.238148,PASS,False,26.3
BATCH-20251119-02,AVALANCHE_X1,2025-11-19T12:35:24.238148,2025-11-19T14:35:24.238148,2025-11-19T15:05:24.238148,2025-11-19T19:05:24.238148,2025-11-19T19:20:24.238148,2025-11-19T20:20:24.238148,2025-11-19T20:50:24.238148,PASS,False,17.2
BATCH-20251119-03,AVALANCHE_X1,2025-11-19T15:35:24.238148,2025-11-19T17:35:24.238148,2025-11-19T18:05:24.238148,2025-11-19T22:05:24.238148,2025-11-19T22:20:24.238148,2025-11-19T23:20:24.238148,2025-11-19T23:50:24.238148,PASS,False,42.7
BATCH-20251119-04,AVALANCHE_X1,2025-11-19T18:35:24.238148,2025-11-19T20:35:24.238148,2025-11-19T21:05:24.238148,2025-11-20T01:05:24.238148,2025-11-20T01:20:24.238148,2025-11-20T02:20:24.238148,2025-11-20T02:50:24.238148,PASS,False,43.1
BATCH-20251119-05,AVALANCHE_X1,2025-11-19T21:35:24.238148,2025-11-19T23:35:24.238148,2025-11-20T00:05:24.238148,2025-11-20T04:05:24.238148,2025-11-20T04:20:24.238148,2025-11-20T05:20:24.238148,2025-11-20T05:50:24.238148,PASS,False,52.5
BATCH-20251119-06,AVALANCHE_X1,2025-11-20T00:35:24.238148,2025-11-20T02:35:24.238148,2025-11-20T03:05:24.238148,2025-11-20T07:05:24.238148,2025-11-20T07:20:24.238148,2025-11-20T08:20:24.238148,2025-11-20T08:50:24.238148,PASS,False,17.9
BATCH-20251119-07,AVALANCHE_X1,2025-11-20T03:35:24.238148,2025-11-20T05:35:24.238148,2025-11-20T06:05:24.238148,2025-11-20T10:05:24.238148,2025-11-20T10:20:24.238148,2025-11-20T11:20:24.238148,2025-11-20T11:50:24.238148,PASS,False,26.4
